file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\observability\BatchStepObservation.java,org.springframework.batch.core.observability.BatchStepObservation$StepLowCardinalityTags,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-integration\src\test\java\org\springframework\batch\integration\step\DelegateStep.java,org.springframework.batch.integration.step.DelegateStep,class,3,3,0,3,4,2,0,3,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,0,0,1,0,0,1,0,1,0,1,0,0,0,0,37,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\configuration\xml\DecisionJobParserTests.java,org.springframework.batch.core.configuration.xml.DecisionJobParserTests$TestDecider,innerclass,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,9,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\item\database\JdbcParameterUtils.java,org.springframework.batch.item.database.JdbcParameterUtils,class,1,4,3,1,27,1,0,9,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,59,3,2,17,0,1,0,6,13,3,8,6,0,0,0,117,1025,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\support\MethodInvoker.java,org.springframework.batch.support.MethodInvoker,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\support\builder\ClassifierCompositeItemProcessorBuilderTests.java,org.springframework.batch.item.support.builder.ClassifierCompositeItemProcessorBuilderTests,class,5,5,0,5,2,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,10,0,5,1,7,0,0,0,3,24,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\infrastructure\aot\InfrastructureRuntimeHints.java,org.springframework.batch.infrastructure.aot.InfrastructureRuntimeHints,class,43,43,0,43,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,1,0,1,1,0,0,0,16,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\configuration\support\GenericApplicationContextFactoryTests.java,org.springframework.batch.core.configuration.support.GenericApplicationContextFactoryTests$ChildBean,innerclass,4,4,0,4,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,2,2,0,2,0,0,0,0,13,9,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\flow\support\DefaultStateTransitionComparatorTests.java,org.springframework.batch.core.job.flow.support.DefaultStateTransitionComparatorTests,class,5,5,0,5,13,1,0,3,0,0.0,1.0,1.0,13,0,0,0,0,13,13,0,0,0,2,0,0,2,0,0,2,0,0,80,0,0,0,0,0,51,25,27,0,27,0,0,0,0,41,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\ExtendedAbstractJobTests.java,org.springframework.batch.core.job.ExtendedAbstractJobTests$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\configuration\annotation\StepScopeConfigurationTests.java,org.springframework.batch.core.configuration.annotation.StepScopeConfigurationTests$SimpleHolder,innerclass,1,1,0,1,3,1,0,0,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,2,0,1,0,0,0,0,6,9,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\configuration\xml\TestReader.java,org.springframework.batch.core.configuration.xml.TestReader,class,4,9,5,4,8,2,0,4,9,0.6666666,0.14285715,0.14285715,6,0,6,0,0,0,7,0,0,0,2,0,0,1,0,1,0,0,1,33,3,0,0,0,0,2,2,8,0,4,2,0,0,0,24,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\amqp\builder\AmqpItemReaderBuilderTests.java,org.springframework.batch.item.amqp.builder.AmqpItemReaderBuilderTests,class,8,8,0,8,4,1,0,12,0,0.25,0.5,0.5,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,23,0,0,0,0,0,5,0,5,0,6,0,0,0,1,24,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\chunking\WorkerConfiguration.java,org.springframework.batch.samples.chunking.WorkerConfiguration,class,17,19,2,17,9,1,0,18,28,0.875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,39,9,1,0,0,0,6,0,1,2,5,2,0,0,2,61,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\StandaloneStepParser.java,org.springframework.batch.core.configuration.xml.StandaloneStepParser,class,4,5,1,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\xml\stax\DefaultFragmentEventReaderTests.java,org.springframework.batch.item.xml.stax.DefaultFragmentEventReaderTests,class,8,9,1,8,10,1,0,26,0,0.33333334,1.0,1.0,6,0,0,2,0,4,4,0,0,0,2,0,0,2,0,0,0,0,6,62,0,2,0,0,0,7,0,11,0,9,1,0,0,0,93,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\converter\StringToLocalTimeConverterTests.java,org.springframework.batch.core.converter.StringToLocalTimeConverterTests,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,8,0,0,0,0,0,1,0,3,0,3,0,0,0,0,14,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\item\file\DefaultBufferedReaderFactory.java,org.springframework.batch.item.file.DefaultBufferedReaderFactory,class,2,4,2,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\job\flow\support\JobFlowExecutorSupport.java,org.springframework.batch.core.job.flow.support.JobFlowExecutorSupport,class,7,10,3,7,8,1,0,1,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\AbstractFlowParser.java,org.springframework.batch.core.configuration.xml.AbstractFlowParser,class,16,23,7,16,48,2,2,48,66,0.88663965,0.044444446,0.044444446,13,8,3,3,7,0,10,0,0,0,19,18,0,4,15,0,17,0,13,209,10,7,6,0,2,31,3,67,5,58,4,0,0,0,211,1025,4
